page,product_name,price,link
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/337/300/1001337300_1_1_3.jpg?t=1687955351279
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/337/629/1001337629_1_1_3.jpg?t=1687955351279
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Strappy stretch bodysuit,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1006/300/525/1006300525_1_1_3.jpg?t=1684761130262
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed crop top,59,https://static.lefties.com/9/photos2/2023/I/0/1/p/1621/325/620/1621325620_1_1_3.jpg?t=1685025090085
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Textured short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/1001/366/800/1001366800_1_1_3.jpg?t=1680590832589
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Long T-shirt with split,79,https://static.lefties.com/9/photos2/2023/I/0/1/p/5013/348/250/5013348250_1_1_3.jpg?t=1684931832528
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Ribbed knit T-shirt,39,https://static.lefties.com/9/photos2/2023/V/0/1/p/5032/311/800/5032311800_1_1_3.jpg?t=1664452682656
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Cropped short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/375/250/1001375250_1_1_3.jpg?t=1682417425205
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/303/674/5123303674_1_1_3.jpg?t=1687944745681
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversized short sleeve T-shirt,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/317/800/5003317800_1_1_3.jpg?t=1687934788540
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Sleeveless top,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5123/303/438/5123303438_1_1_3.jpg?t=1687944745681
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with criss-cross straps,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5122/311/057/5122311057_1_1_3.jpg?t=1683202522863
